Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,iSell__OSKeyID__c,TASKRAY__trOnboardingEndDate__c,TASKRAY__trOnboardingStartDate__c,TASKRAY__trCustomerOnboardingScore__c,TASKRAY__trDesiredOutcomes__c
0011T00002Ko6U8QAJ,0,,Cakebread Cellars,,000000000000000AAA,St Helena Hwy,Rutherford,California,94573,United States,,,,,,,,,,,,,,,http://cakebread.com,,Food & Beverage,75000000,,,,,,,0055000000139EwAAI,1/24/2019 14:35,0055000000139EwAAI,1/24/2019 14:35,0055000000139EwAAI,1/24/2019 14:35,,,,,,,,,,
0011T00002Ko6ZNQAZ,0,,Far Niente Winery Inc,,000000000000000AAA,,,,,,,,,,,,,,,,,1-707-944-2861,,,http://farniente.com,,Food & Beverage,100000000,,,,,,,0055000000139EwAAI,1/24/2019 14:39,0055000000139EwAAI,1/24/2019 14:39,0055000000139EwAAI,4/15/2019 23:04,4/17/2019 0:00,,,,,,,,,
0011T00002LNCQQQA5,0,,Benjamin Moore & Co.,,000000000000000AAA,101 Paragon Dr,Montvale,NJ,07645-1727,United States,,,,,,,,,,,,201-573-9600,,,http://www.benjaminmoore.com,5231,Retail,865473100,3151,Subsidiary,,"Not only can you paint the town red (or any other color) with Benjamin Moore paints, you can stain and finish it as well. The company is a leading formulator, manufacturer and retailer of a broad range of architectural coatings. In addition to ready-mixed colors -- sold under such brands as Benjamin Moore Paints, Moorcraft, and Coronado Paint -- the company can match almost any shade with more than 3,400 colors. Benjamin Moore (a subsidiary of Warren Buffett's Berkshire Hathaway) also makes industrial coatings and coatings for manufacturers of furniture and roof decking.",,,00550000000vRURAA2,3/3/2019 15:59,00550000000vRURAA2,3/3/2019 19:02,00550000000vRURAA2,3/3/2019 19:02,,,,,,1210715,,,,
0011T00002LQP5wQAH,0,,GVM,,000000000000000AAA,"1000 Main Street, Ste. 300",Napa,CA,94559,United States,,,,,,,,,,,,707-252-9000,,,http://gvmlaw.com,,Other,,,Private,,,,,0055000000139EwAAI,3/11/2019 23:06,00550000000vRUNAA2,3/11/2019 23:55,00550000000vRUNAA2,3/11/2019 23:55,,,,,,,,,,
0011T00002LSvaVQAT,0,,Pacific Gas and Electric Corporation,,000000000000000AAA,77 Beale St,San Francisco,California,94105-1807,United States,,,,,,,,,,,,1-415-973-1000,,,http://pgecorp.com,,,,,Public,NYSE:PCG,,,,00550000000vRURAA2,3/19/2019 16:43,00550000000vRURAA2,3/19/2019 16:43,00550000000vRURAA2,3/19/2019 16:43,,,,,,,,,,
0011T00002LSvjwQAD,0,,Sacramento Municipal Utility District,,000000000000000AAA,6201 S St,Sacramento,California,95817-1818,United States,,,,,,,,,,,,,,,http://smud.org,,,,,,,,,,00550000000vRURAA2,3/19/2019 16:48,00550000000vRURAA2,3/19/2019 16:48,00550000000vRURAA2,3/19/2019 16:48,,,,,,,,,,
0011T00002LU5DDQA1,0,,Heron Innovators,,000000000000000AAA,1025 Nichols Drive,Rocklin,CA,95765,,,,,,,,,,,,,1-916-408-6601,,,http://heroninnovators.com,,,,,Private,,,,,00550000000vRURAA2,3/22/2019 17:54,00550000000vRURAA2,3/22/2019 17:54,00550000000vRURAA2,3/22/2019 17:54,,,,,,,,,,
0011T00002MR4D8QAL,0,,Sequoia Capital Partners Inc,,000000000000000AAA,,,,,,,,,,,,,,,,,,,,http://seq-cap.com,,,,,Partnership,,,,,00550000000vRURAA2,5/8/2019 20:44,00550000000vRURAA2,5/8/2019 20:44,00550000000vRURAA2,5/8/2019 20:44,,,,,,,,,,
0011T00002MRirCQAT,0,,Karius,,000000000000000AAA,"975 Island Dr., Suite 101",Redwood City,CA,94065,,,,,,,,,,,,,,,,kariusdx.com,,Pharmaceuticals,,55,,,"The continuing global impact of infectious diseases is profound. Infections cause roughly 20% of all human deaths each year. This includes patients we commonly encounter with sepsis, compromised immune systems, and undiagnosed infections.  As experts in microbial genomics, we give doctors rapid diagnostic insights to help them make informed treatment decisions for the benefit of their patients. We are a team of clinicians, molecular biologists, data scientists, software engineers, and commercial experts drawn together by a shared commitment to improve patient health.        Karius is a life sciences company transforming infectious disease diagnostics with genomics. It began with work on microbial cell-free DNA at Stanford University and was inspired by one child?s story.  The Karius® Test is a comprehensive tool capable of identifying more than 1,000 pathogens directly from blood. With this next-generation sequencing-based test, we are helping clinicians improve patient outcomes and helping industry accelerate drug development.",,,00550000000vRURAA2,5/14/2019 18:12,00550000000vRURAA2,5/14/2019 18:12,00550000000vRURAA2,4/27/2020 18:15,4/22/2020 0:00,,,,,,,,,
0011T00002MqXgaQAF,0,,Icon Vehicle Dynamics Llc,,000000000000000AAA,7929 Lincoln Ave.,Riverside,CA,95204,,,,,,,,,,,,,9516894266,,,http://iconvehicledynamics.com,,,55000000,120,,,"ICON Vehicle Dynamics is a premiere performance suspension manufacturer specializing in aftermarket suspension components for trucks, SUV?s and off road suspension development.",,,00550000000vRURAA2,6/11/2019 16:36,00550000000vRURAA2,6/11/2019 16:36,00550000000vRURAA2,6/11/2019 16:36,,,,,,,,,,
0011T00002MqY2bQAF,0,,Port of Oakland,,000000000000000AAA,530 Water St.,Oakland,CA,94607,,,,,,,,,,,,,(510) 627-1100,,,www.portofoakland.com,,,,,Private,,"We are a major job-creating, economic engine for the region. In concert with our many business partners, we generate tax revenues that fuel local and regional commerce and fund major infrastructure. Established in 1927 as a public agency, governed by the Oakland Board of Port Commissioners, we receive no local tax dollars. Revenue comes from our three core businesses - aviation, commercial real estate, and maritime.  Our far-reaching, intricate network of operations and business partners creates employment for more than 73,000 jobs in Oakland and the region and is tied to nearly 827,000 jobs nationwide. We touch almost every Bay Area resident through Oakland International Airport and Oakland Seaport activities, prime real estate development opportunities like those in Jack London Square and along the Oakland waterfront, and related commerce powered by those businesses.  Economic development is at the heart of the Port of Oakland?s work. Successful business activities here have a positive economic impact that deliver significant benefits to our neighboring communities, the region and the nation.",,,00550000000vRURAA2,6/11/2019 17:04,00550000000vRURAA2,6/11/2019 17:04,00550000000vRURAA2,6/11/2019 17:04,,,,,,,,,,
0011T00002OimOpQAJ,0,,Community Health Plan of Washington,,000000000000000AAA,1111 Thirds St. Suite 400,Seattle,WA,98101,,,,,,,,,,,,,,,,www.chpw.org,,,,,Nonprofit,,,,,00550000000vRURAA2,3/27/2020 17:20,00550000000vRURAA2,3/27/2020 17:20,00550000000vRURAA2,3/27/2020 17:20,,,,,,,,,,
0011T00002OjTDhQAN,0,,Logistec,,000000000000000AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00550000000vRURAA2,4/2/2020 14:24,00550000000vRURAA2,4/2/2020 14:24,00550000000vRURAA2,4/2/2020 14:24,,,,,,,,,,
0011T00002Pw3xyQAB,0,,"Side, Inc.",,000000000000000AAA,580 4th Street,San Francisco,CA,94107,,,,,,,,,,,,,415-793-4979,,,www.sideinc.com,,Technology,,,Private,,,,,00550000000vRURAA2,1/27/2020 22:58,00550000000vRURAA2,1/27/2020 22:58,00550000000vRURAA2,1/27/2020 22:58,,,,,,,,,,
0011T00002Pw4UdQAJ,0,,Western Growers Insurance Services,,000000000000000AAA,15525 Sand Canyon Ave.,Irvine,CA,92618,,,,,,,,,,,,,,,,www.wga.com,,Agriculture,,400,,,,,,00550000000vRURAA2,1/28/2020 0:00,00550000000vRURAA2,1/28/2020 0:00,00550000000vRURAA2,1/28/2020 0:00,,,,,,,,,,
0011T00002Pw4g5QAB,0,,Nesco Resource LLC,,000000000000000AAA,6140 Parkland Blvd,Mayfield Heights,OH,44124,,,,,,,,,,,,,,,,www.nescoresource.com,,HR Solutions and Staffing,500000000,5000,Private,,"Professional, administrative, and light industrial temporary and permanent staffing firm.",,,00550000000vRURAA2,1/28/2020 0:19,00550000000vRURAA2,1/28/2020 0:19,00550000000vRURAA2,1/28/2020 0:19,,,,,,,,,,
0011T00002Pw4mhQAB,0,,Bellwether Coffee,,000000000000000AAA,1710 Fourth St.,Berkeley,CA,94710,,,,,,,,,,,,,5109851996,,,www.bellwethercoffee.com,,,,,,,,,,00550000000vRURAA2,1/28/2020 0:33,00550000000vRURAA2,1/28/2020 0:33,00550000000vRURAA2,1/28/2020 0:33,,,,,,,,,,
0011T00002QZS1VQAX,0,,"Fortinet, Inc.",,000000000000000AAA,899 Kifer Rd,Sunnyvale,California,94086-5205,United States,,,,,,,,,,,,4082357700,,,http://fortinet.com,,,2200000000,7500,Public,FTNT,"Fortinet is a global leader in cybersecurity solutions provided to a wide variety of organizations, such as enterprises, communication service providers, government organizations and small businesses. Our cybersecurity solutions are designed to provide broad visibility and segmentation of the digital attack surface through our integrated Security Fabric platform, which features automated protection, detection and responses. The focus areas of our business consist of: ? Network Security?We derive a majority of product sales from our FortiGate network security appliances. Our FortiGate network security appliances include a broad set of built-in security and networking features and functionalities, including firewall, next generation firewall, secure web gateway, software-defined wide-area network (?SD-WAN?), intrusion prevention, secure sockets layer data leak prevention, virtual private network, switch and wireless controller and wide area network edge. Our network security appliances are managed by our FortiOS network operating system, which provides the foundation for FortiGate security functions. We enhance the performance of our network security appliances from branch to data center by designing and implementing Security Processing Unit (?SPU?) technology within our appliances. ? Infrastructure Security?The Fortinet Security Fabric platform extends beyond the network to cover other attack vectors. Other infrastructure solutions covered include Secure Access (WiFi and switch) and software or hardware versions of Endpoint and Application Security, including email and web security. ? Cloud Security?We help customers connect securely to and across their hybrid, public and private cloud environments by offering security through our virtual firewall and other software products in public and private cloud environments. Our cloud security solutions, including virtual appliances and hosted solutions, extend the core capabilities of the Fortinet Security Fabric platform to provide businesses with the same level of cybersecurity and threat intelligence in and across cloud environments that they receive on their physical networks. Fortinet cloud security offerings are available across all major cloud providers, including Amazon Web Services, Microsoft Azure, Google Cloud, IBM Cloud, Oracle Cloud and Alibaba Cloud. ? Internet of Things and Operational Technology?The proliferation of Internet of Things (?IoT?) and the digitization of Operational Technology (?OT?) devices has generated new opportunities for us to grow our business. We offer network access control solutions that provide visibility, control and automated event responses in order to secure IoT devices. ? Security Subscription and Support Services?Our customers, channel partners and end users may also purchase FortiGuard and other security subscription services to receive threat intelligence updates; FortiCare technical support services across all of our products; Technical Account Managers, Resident Engineers and professional service consultants for implementations or training services.",,,00550000000vRURAA2,2/10/2020 17:58,00550000000vRURAA2,2/10/2020 17:58,00550000000vRURAA2,2/10/2020 17:58,,,,,,,,,,
0011T00002QZkt9QAD,0,,OneLogin Inc,,000000000000000AAA,150 Spear St,San Francisco,California,94105-1503,United States,,,,,,,,,,,,,,,http://onelogin.com,,,,,,,,,,00550000000vRURAA2,2/12/2020 20:46,00550000000vRURAA2,2/12/2020 20:46,00550000000vRURAA2,2/12/2020 20:46,,,,,,,,,,
0011T00002TejXFQAZ,0,,Tencent America,,000000000000000AAA,2747 Park Blvd.,Palo Alto,CA,94306,,,,,,,,,,,,,628-209-9379,,,,,,,,,,,,,00550000000vRURAA2,9/3/2020 22:52,00550000000vRURAA2,9/3/2020 22:54,00550000000vRURAA2,9/3/2020 22:54,,,,,,,,,,
0015000000Exj1iAAB,0,,Genus Americas,Customer,000000000000000AAA,1525 River Road,De Forest,WI,53532,United States of America,,,,,,,,,,,,,,,,,,,,Subsidiary,,,,,00550000000vRURAA2,8/23/2006 23:54,00550000000vRUqAAM,6/17/2014 18:59,00550000000vRURAA2,6/17/2014 18:59,8/9/2008 0:00,,,,,,,,,
0015000000Exj4aAAB,0,,PIC North America,Customer,0015000000Exj1iAAB,,Franklin,Kentucky,,United States,,,,,,,,,,,,,,,,,,,,,,,,,00550000000vRURAA2,8/24/2006 0:11,00550000000vRUqAAM,6/17/2014 19:15,00550000000vRURAA2,6/17/2014 19:15,,,,,,,,,,
0015000000Exj5bAAB,0,,UBISOFT,Customer,000000000000000AAA,625 Third Street,San Francisco,CA,94107,United States of America,,,,,,,,,,,,,+1 (415) 357-2624,B,,,,,,,,,,,00550000000vRURAA2,8/23/2006 23:54,00550000000vRUqAAM,6/27/2014 17:57,00550000000vRURAA2,2/2/2017 4:17,7/7/2009 0:00,,,,,,,,,
0015000000Exj5dAAB,0,,Exogen,Customer,000000000000000AAA,55 East Monroe #2600,Chicago,IL,60603,,,,,,,,,,,,,,,,http://www.charterconsult.com/,,Consulting,,,Subsidiary,,Name changed with the renewed focus on health care management,,,00550000000vRURAA2,8/23/2006 23:54,00550000000vRUqAAM,3/6/2018 23:11,00550000000vRURAA2,3/6/2018 23:11,2/15/2007 0:00,,,,,,,,,
0015000000Exj7sAAB,0,,ABS Global,Customer,0015000000Exj1iAAB,,,,,,,,,,,,,,,,,,+1 608 846 6392,1,,,,,,,,,,,00550000000vRURAA2,8/24/2006 0:11,00550000000vRUqAAM,6/17/2014 21:51,00550000000vRURAA2,3/13/2018 10:51,,,,,,,,,,
0015000000ExjIOAAZ,0,,Motorola,Customer,000000000000000AAA,985 Stewart Drive,Sunnyvale,CA,94805,,,,,,,,,,,,,,,B,,,Technology,30100000000,,Public,MOT,Formerly Modulus Video,,,0055000000139EwAAI,8/24/2006 1:17,00550000000vRUqAAM,6/17/2014 19:11,00550000000vRURAA2,6/17/2014 19:11,,,,,,,,,,
0015000000ExjIPAAZ,0,,Subzero,Prospect,000000000000000AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055000000139EwAAI,8/24/2006 1:17,00550000000vRUqAAM,6/17/2014 19:23,00550000000vRURAA2,6/17/2014 19:23,,,,,,,,,,
0015000000ExjIQAAZ,0,,"Coherent, Inc",Customer,000000000000000AAA,,,,,,,,,,,,,,,,,(201) 251-7709,,B,www.coherentinc.com,3827,,599300000,2218,Public,COHR,"Coherent, Inc. leads the way, offering reliability, cost, and performance advantages for the widest range of commercial and scientific research applications.    Founded in 1966, Coherent has production and research facilities spanning the world, supplying everything from laser systems and components to laser measurement and control products and precision optics to over 80 countries. Notably, many of its customers are Fortune 500? leading manufacturers and scientific researchers from numerous universities and institutes across the Americas, Europe, and Pacific Rim. With over half a billion dollars in sales in fiscal 2005, the company has attained a scale unrivaled by most of its competitors.   Markets for Coherent?s products include microelectronics (which includes semiconductor test and measurement, flat panel display manufacturing, and advanced packaging), scientific research and government programs, materials processing, OEM components and instrumentation (which includes such areas as biotechnology, medical imaging and treatment), and graphic arts and display.   Since its inception, Coherent has grown through internal expansion and strategic acquisitions of complementary technologies, intellectual property, manufacturing processes, and product offerings. Coherent also consistently invests over 10 percent of its annual revenue into research and development.  The company?s strategy is to continue to develop innovative and proprietary products and solutions that meet the needs of customers and that are based on Coherent?s core expertise in lasers and optical technologies.",,,00550000000vRUNAA2,8/24/2006 1:17,00550000000vRUqAAM,3/6/2018 23:11,00550000000vRURAA2,1/21/2019 19:29,1/21/2019 0:00,,,,,,,,,
0015000000ExjImAAJ,0,,Xilinx,Customer,000000000000000AAA,,,,,,,,,,,,,,,,,(408) 879-4698,,,www.xilinx.com,,Technology,1842700000,3353,Public,XLNX,"Xilinx leads the Programmable Logic Device (PLD) market - one of the fastest growing segments of the semiconductor industry. This market features a revolutionary technology called the field programmable gate array (FPGA) that our company pioneered in 1984. Xilinx has almost half of the $2.3 billion PLD market.   Xilinx is the world's leading innovator of programmable logic solutions. We supply customers with ""off-the-shelf"" logic devices that customers can program to perform specific functions using the development tools we provide.   This programmability provides a revolutionary alternative to fixed or custom logic devices that typically require many months to design, test, and manufacture. Xilinx customers enjoy the benefit of faster time-to-market and increased product design flexibility as a result.  Uses for Programmable Logic  Our company's business is drawn from a variety of industry segments. In recent years, a large portion of our revenues came from the communications marketplace. However, we have become increasingly more diversified to include the consumer, industrial, and automotive sectors.   You can find Xilinx chips in a wide variety of digital electronic applications ranging from wireless base stations to DVD players.  Multiple Product LInes with Superlative Software Support  Our extensive product line includes silicon solutions like the Virtex? series FPGAs (high performance FPGAs for networking, communications, and video/imaging applications at the lowest cost); Spartan? FPGAs (ideal for high volume applications); and CoolRunner? and C9500? CPLD families (Complex Programmable Logic Devices that offer ultra low cost and low power). We also create a powerful suite of of high performance software design tools.  High-profile Worldwide Customer and Partner Base  Xilinx has over 7,500 customers around the globe, including Alcatel, Cisco Systems, EMC, Ericsson, Fujitsu, Hewlett-Packard, IBM, Lucent Technologies, and Motorola. Most of our sales are handled by outside partners: both large distributors and independent sales representatives.  The company has a very flexible business model that has contributed to our success as an employer and a competitor. We are a ""fabless"" supplier and do not manufacture our logic devices. Instead, we have formed close strategic alliances with chip manufacturers like IBM and UMC. This strategy, along with outsourcing most of sales, allows us to focus more of our energies on R&D, marketing and technical support. The resulting flexibility gives us the ability to rearrange business priorities quickly as we respond to the cyclical nature of the semiconductor market. It also has made it easier for us to avoid layoffs in periods of downturn.   Our Vision for the Future  What essentially defines Xilinx is vision. Our long-term business goal is to put a PLD in every piece of electronic equipment within the next 10 years. Our long-term management goal is to create a company that sets the standard for managing high technology companies. While these are ambitious undertakings, at Xilinx, visions have a way of turning into reality.",,,00550000000vRURAA2,8/24/2006 1:27,00550000000vRUqAAM,6/17/2014 17:08,00550000000vRURAA2,6/17/2014 17:08,1/21/2009 0:00,,,,,,,,,
0015000000ExjwJAAR,0,,Sandia National Labs,Prospect,000000000000000AAA,7011 East Avenue,Livermore,CA,94550,,,,,,,,,,,,,(925) 294-6632,,,http://www.sandia.gov/,,Government,,,,,"Since 1949, Sandia National Laboratories has developed science-based technologies that support our national security. Today, the nearly 300 million Americans depend on Sandia's technology solutions to solve national and global threats to peace and freedom.  Through science and technology, people, infrastructure, and partnerships, Sandia's mission is to meet national needs in five key areas:   Nuclear Weapons »  ensuring the stockpile is safe, secure, reliable, and can support the United States' deterrence policy  Energy and Infrastructure Assurance »  enhancing the surety of energy and other critical infrastructures  Nonproliferation »  reducing the proliferation of weapons of mass destruction, the threat of nuclear accidents, and the potential for damage to the environment  Defense Systems and Assessments »  addressing new threats to national security  Homeland Security »  helping to protect our nation against terrorism  Sandia is a government-owned/contractor operated (GOCO) facility. Sandia Corporation, a Lockheed Martin company, manages Sandia for the U.S. Department of Energy's National Nuclear Security Administration. We seek collaborative partnerships on emerging technologies that support our mission.",,Livermore,00550000000vRUNAA2,8/24/2006 16:13,00550000000vRURAA2,3/6/2018 23:11,00550000000vRURAA2,3/6/2018 23:11,10/25/2006 0:00,,,,,,,,,
0015000000ExyfTAAR,0,,Trend Micro,Customer,000000000000000AAA,"225 E. John Carpenter Freeway, Suite 1500",Irving,TX,75062,,,,,10101 N. De Anza Blvd,Cupertino,CA,95104,,,,,(817) 569-8900,,,www.trendmicro.com,7372,,1180000000,5200,,,New HQ in TX as of 2013. Cupertino office:  (408) 257-1500,,,0055000000139EwAAI,8/29/2006 23:14,00550000000vRURAA2,6/17/2014 22:15,00550000000vRURAA2,6/17/2014 22:15,,,,,,,,,,
0015000000ExygIAAR,0,,EBay,Prospect,000000000000000AAA,,,,,,,,,,,,,,,,,(408) 967-7543,,B,,,,,,,,,,,0055000000139EwAAI,8/29/2006 23:14,00550000000vRURAA2,6/17/2014 18:56,00550000000vRURAA2,6/17/2014 18:56,,,,,,,,,,
0015000000ExygMAAR,0,,Boston Scientific,Customer,000000000000000AAA,,,,,,,,,,,,,,,,,(510) 440-7704,,A,,,,5000,,,,,,,0055000000139EwAAI,8/29/2006 23:14,00550000000vRURAA2,6/17/2014 18:50,00550000000vRURAA2,6/17/2014 18:50,,,,,,,,,,
